"country_name","Quarter","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Cameroon","Q4",0,0,2,0,0,2,3,0.145,1,0.35,0.173565,0,0,1,1,0,2,0,0,2,2,0,1,0,NA
"Cameroon","Summary",0,0,2,0,0,2,3,0.145,1,0.35,0.1653,0,0,1,1,0,2,0,0,2,2,0,1,0,NA
"Canada","Q2",0,0,0,0,0,0,0,0.776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Canada","Q3",0,0,0,0,0,0,0,0.776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Canada","Q4",0,0,0,0,0,0,0,0.776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Canada","Summary",0,0,0,0,0,0,0,0.776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Central African Republic","Q2",0,0,0,0,0,1,3,0.213,1,0.2,0.1341048,0,0,1,1,0,1,0,0,1,0,0,2,0,NA
"Central African Republic","Q3",0,0,0,0,0,2,3,0.213,1,0.25,0.167631,0,0,1,1,0,1,0,0,2,0,0,2,0,NA
"Central African Republic","Q4",0,0,0,0,0,2,3,0.213,1,0.25,0.167631,0,0,1,1,0,1,0,0,2,0,0,2,0,NA
"Central African Republic","Summary",0,0,0,0,0,2,3,0.213,1,0.25,0.1564556,0,0,1,1,0,1,0,0,2,0,0,2,0,NA
"Chad","Q2",0,0,1,0,0,1,3,0.11,1,0.25,0.0979,0,0,1,1,0,0,1,1,1,1,1,2,0,1
"Chad","Q3",0,0,1,0,0,2,3,0.11,1,0.3,0.11748,0,0,1,1,1,1,0,0,2,1,1,2,0,1
"Chad","Q4",0,0,1,0,0,2,3,0.11,1,0.3,0.11748,0,0,1,1,1,1,0,0,2,1,1,2,0,1
"Chad","Summary",0,0,1,0,0,2,3,0.11,1,0.3,0.110953333333333,0,0,1,1,1,1,1,1,2,1,1,2,0,1
"Chile","Q2",0,0,2,0,0,0,0,0.762,3,0.1,0.0725424,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Chile","Q3",0,0,2,0,0,0,0,0.762,3,0.1,0.0725424,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Chile","Q4",0,0,2,0,0,0,0,0.762,3,0.1,0.0725424,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Chile","Summary",0,0,2,0,0,0,0,0.762,3,0.1,0.0725424,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"China","Q2",1,0,0,2,0,0,3,0.05,0,0.3,0.057,1,0,1,1,0,2,1,0,0,0,1,0,1,0
"China","Q3",1,0,0,2,0,0,3,0.05,0,0.3,0.057,1,0,1,1,0,2,0,0,0,0,0,0,1,0
"China","Q4",1,0,0,2,0,1,3,0.05,0,0.35,0.0665,1,0,1,1,0,2,0,0,1,0,0,0,1,0
"China","Summary",1,0,0,2,0,1,3,0.05,0,0.35,0.0601666666666667,1,0,1,1,0,2,1,0,1,0,1,0,1,0
"Colombia","Q2",0,0,2,0,0,0,0,0.503,2,0.1,0.0999964,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Colombia","Q3",0,0,2,0,0,0,0,0.503,2,0.1,0.0999964,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Colombia","Q4",0,0,2,0,0,0,0,0.503,2,0.1,0.0999964,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Colombia","Summary",0,0,2,0,0,0,0,0.503,2,0.1,0.0999964,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Costa Rica","Q2",0,0,1,2,0,0,0,0.816,3,0.15,0.0900864,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Costa Rica","Q3",0,0,0,2,0,0,0,0.816,3,0.1,0.0600576,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Costa Rica","Q4",0,0,0,2,0,0,0,0.816,3,0.1,0.0600576,0,0,0,0,0,0,0,0,0,0,0,2,NA,0
"Costa Rica","Summary",0,0,1,2,0,0,0,0.816,3,0.15,0.0700672,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Croatia","Q2",0,3,1,2,0,0,0,0.545,2,0.3,0.29757,0,1,0,0,0,0,0,0,0,1,0,2,0,0
"Croatia","Q3",0,3,1,0,0,0,0,0.545,2,0.2,0.19838,0,1,0,0,0,0,0,0,0,1,0,2,0,1
"Croatia","Q4",0,3,1,0,0,0,0,0.545,2,0.2,0.19838,0,1,0,0,0,0,0,0,0,1,0,2,0,1
"Croatia","Summary",0,3,1,2,0,0,0,0.545,2,0.3,0.231443333333333,0,1,0,0,0,0,0,0,0,1,0,2,0,0
"Cuba","Q2",0,0,1,2,0,0,3,0.09,0,0.3,0.09828,0,0,1,1,0,0,0,0,0,1,0,2,0,0
"Cuba","Q3",0,0,1,2,0,0,3,0.09,0,0.3,0.09828,0,0,1,1,0,0,0,0,0,1,0,2,0,0
"Cuba","Q4",0,0,1,2,0,0,3,0.09,0,0.3,0.09828,0,0,1,1,0,0,0,0,0,1,0,2,0,0
"Cuba","Summary",0,0,1,2,0,0,3,0.09,0,0.3,0.09828,0,0,1,1,0,0,0,0,0,1,0,2,0,0
"Czech Republic","Q2",0,0,0,2,0,0,1,0.697,2,0.15,0.1267146,0,0,0,0,0,1,0,0,0,0,1,2,0,0
"Czech Republic","Q3",0,0,0,2,0,0,1,0.697,2,0.15,0.1267146,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"Czech Republic","Q4",0,0,0,2,0,0,1,0.697,2,0.15,0.1267146,0,0,0,0,0,1,0,0,0,0,0,2,0,0
