"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Burkina Faso","Mar-Jun",0.273,0.15,0.1190826,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Burkina Faso","Jul-Sep",0.273,0.1,0.0793884,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Burma/Myanmar","Mar-Sep",0.246,0.25,0.185484,1,0,1,0,0,0,3,1,0,1,1,1,2,0,1,0,1,NA,5,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,2,1,"2020-09-14",NA,NA
"Burma/Myanmar","Mar-Jun",0.246,0.25,0.185484,1,0,1,0,0,0,3,1,0,1,1,1,2,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Burma/Myanmar","Jul-Sep",0.246,0.25,0.185484,1,0,1,0,0,0,3,1,0,1,1,1,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Burundi","Mar-Sep",0.059,0.25,0.0444152,0,0,0,0,0,2,3,0,0,1,1,0,2,0,0,2,0,NA,5,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,"2020-09-11",NA,NA
"Burundi","Mar-Jun",0.059,0.25,0.055519,0,0,0,0,0,2,3,0,0,1,1,0,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Burundi","Jul-Sep",0.059,0.15,0.0333114,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Cambodia","Mar-Sep",0.088,0.25,0.080256,0,0,0,2,0,0,3,0,0,1,1,1,1,0,0,0,0,0,4,NA,NA,NA,1,1,0,NA,NA,1,"2020-04-20",NA,0,0,"2020-06-16","Law on National Administration in the State of Emergency",NA
"Cambodia","Mar-Jun",0.088,0.25,0.080256,0,0,0,2,0,0,3,0,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"Cambodia","Jul-Sep",0.088,0.25,0.080256,0,0,0,2,0,0,3,0,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"Cameroon","Mar-Sep",0.145,0.3,0.1363725,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,2,2,NA,5,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,"2020-09-10",NA,NA
